heatingHomeDwellingType,heatingHomeNoOfBedrooms,heatingHomeFuel,heatingHomeAge,heatingType,heatingKgCO2Year,units,heatingSource,default
Detached House,3,Gas,1930 - 1995,Warm Air,6168,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,1930 - 1995,Back boiler,6642,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,1930 - 1995,Boiler (Condensing),4906,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Pre 1930,Boiler (old - 12 - 15yrs old),9227,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Pre 1930,Boiler (average - 5-10yrs old),7689,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Pre 1930,Boiler (new - less than 5 yrs old),7098,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Pre 1930,Room Heaters,10270,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Pre 1930,Warm Air,7909,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Pre 1930,Back boiler,8518,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Pre 1930,Boiler (Condensing),6291,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Post 1995,Boiler (old - 12 - 15yrs old),4665,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Post 1995,Boiler (average - 5-10yrs old),3887,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Post 1995,Boiler (new - less than 5 yrs old),3588,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Post 1995,Room Heaters,5550,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Post 1995,Warm Air,3998,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Post 1995,Back boiler,4306,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Gas,Post 1995,Boiler (Condensing),3180,kgCO2/year,defra/BRE/dgen 2007,
Detached House,4,Oil,1930 - 1995,Boiler (old - 12 - 15yrs old),9571,kgCO2/year,defra/BRE/dgen 2007,
Detached House,4,Oil,1930 - 1995,Boiler (average - 5-10yrs old),7776,kgCO2/year,defra/BRE/dgen 2007,
Detached House,4,Oil,1930 - 1995,Boiler (new - less than 5 yrs old),7319,kgCO2/year,defra/BRE/dgen 2007,
Detached House,4,Oil,1930 - 1995,Room Heaters,11628,kgCO2/year,defra/BRE/dgen 2007,
Detached House,4,Oil,1930 - 1995,Boiler (Condensing),6912,kgCO2/year,defra/BRE/dgen 2007,
Detached House,4,Oil,1930 - 1995,Warm Air,8887,kgCO2/year,defra/BRE/dgen 2007,
